X; Y
92,45; 1,07
93,47; 0,00
90,82; 0,27
94,69; -2,33
99,80; -8,33
87,96; 3,93
84,69; 5,93
83,27; 6,47
82,86; 7,27
77,35; 9,73
79,59; 9,87
76,12; 11,87
72,45; 12,00
72,04; 12,67
71,22; 13,40
72,24; 14,00
66,94; 13,20
64,69; 15,00
58,16; 14,13
59,39; 11,53
53,06; 12,67
52,45; 13,60
49,59; 13,47
47,96; 13,87
49,39; 11,33
45,51; 11,53
43,88; 10,87
42,86; 11,73
40,41; 11,60
37,96; 11,20
36,94; 12,33
34,29; 12,07
33,47; 11,00
40,41; 13,00
48,16; 13,07
30,41; 12,73
26,12; 12,53
26,53; 13,80
22,45; 12,80
18,98; 12,73
17,55; 11,87
21,84; 10,53
14,90; 13,80
14,08; 15,67
13,47; 16,87
7,55; 18,53
4,49; 22,33
2,86; 24,87
1,43; 26,00
-0,20; 26,20
47,55; 13,53
